#name=My Vocab N3 (2)
#description=My JLPT N3
JP;JP_KANA;RU
寧ろ;むしろ;скорее, предпочтительнее, более вероятно
結ぶ;むすぶ;связывать, завязывать, соединять, присоединять, заключать (договор)
無駄;むだ;бесполезность, напрасность, тщетность
夢中;むちゅう;не помнить себя, быть как во сне, увлечься, без памяти
胸;むね;грудь, сердце, душа
無料;むりょう;бесплатный
芽;め;росток, всходы, почка, бутон, побег
明確;めいかく;ясность, определенность
命じる;めいじる;приказывать, распоряжаться, назначать (на должность)
名人;めいじん;мастер (своего дела)
命令;めいれい;приказ, распоряжение, указ
迷惑;めいわく;беспокойство, неудобство, тягость
飯;めし;варенный рис, пища, еда, пропитание
滅多に;めったに;почти никогда, редко (с отриц.)
;メモ;примечание, заметка, сообщение, записная книжка
面;めん;лицо, маска, поверхность, сторона, грань, аспект
綿;めん;хлопок
免許;めんきょ;лицензия, разрешение, свидетельство
面倒;めんどう;беспокойство, затруднение
;メンバー;участник
申し込む;もうしこむ;подавать заявку, заявлять, заказывать
申し訳;もうしわけ;извинение, оправдание
毛布;もうふ;одеяло
燃える;もえる;гореть, пылать
目的;もくてき;цель, задача
目標;もくひょう;знак, отметка, цель, объект
木曜;もくよう;(сокр.) четверг
文字;もじ・もんじ;буква, письменный знак, иероглиф, письменность, алфавит
;もしも;если, в случае
持ち上げる;もちあげる;поднимать, превозносить
用いる;もちいる;пользоваться, употреблять, принимать, нанимать
最も;もっとも;самый, наиболее
尤も;もっとも;правильный, резонный, обоснованный, впрочем
元・基・素;もと;начало, исток, основа, корень, материал
戻す;もどす;возвращать, отдавать обратно, класть на свое место, поворачивать назад, отклонять
基づく;もとづく;основываться, базироваться
求める;もとめる;требовать, просить, искать, покупать
者;もの;человек, некто, тот кто
物音;ものおと;шум, звук
物語;ものがたり;рассказ, история, повествование, легенда
物事;ものごと;дела, вещи, обстоятельства
模様;もよう;узор, рисунок, состояние дел, ситуация, признаки
貰う;もらう;получать, взять, брать
文句;もんく;слова, выражение, фраза, жалобы, недовольство, претензии
;やがて;скоро, вскоре, почти
役;やく;служба, должность, обязанности, роль
約;やく;обещание, сокращение, приблизительно
訳;やく;перевод (с иностранного языка)
役割;やくわり;роль, распределение ролей
家賃;やちん;квартирная плата
厄介;やっかい;хлопоты, заботы, обременение, помощь, иждивение
宿;やど;гостиница, ночлег, дом, квартира
雇う;やとう;нанимать, принимать на работу
屋根;やね;крыша, кровля
;やはり;всё-таки, все ещё, также, тоже
破る;やぶる;разбивать, рвать, разрушать, прорывать, взламывать, нарушать
辞める;やめる;уходить в отставку, увольняться
;やや;до некоторой степени, немного, изрядно
唯一;ゆいいつ;единственный, уникальный
勇気;ゆうき;мужество, храбрость, смелость, доблесть
有効;ゆうこう;действительный, имеющий силу, эффективный
優秀;ゆうしゅう;совершенство, превосходство
優勝;ゆうしょう;победа (в конкурсе, спорте)
友情;ゆうじょう;дружба, дружеские чувства
友人;ゆうじん;друг
有能;ゆうのう;способный, умеющий, знающий, компетентный
郵便;ゆうびん;почта
夕べ;ゆうべ;вечер, вечером, вчера вечером
;ユーモア;юмор
有利;ゆうり;выгодный, полезный, благоприятный
床;ゆか;пол
愉快;ゆかい;приятный, веселый
輸出;ゆしゅつ;экспорт, вывоз
譲る;ゆずる;отдавать, передавать, уступать (дорогу, место, в споре), идти на компромисс, откладывать
豊か;ゆたか;обильный, богатый
輸入;ゆにゅう;импорт, ввоз
許す;ゆるす;разрешать, позволять, прощать, извинять, освобождать, доверить
夜明け;よあけ;рассвет
様;よう;такой как, похожий
酔う;よう;опьянеть, напиться, страдать от качки, отравиться
容易;ようい;легкость, простота
陽気;ようき;погода, сезон, оживленность, жизнерадостность
要求;ようきゅう;требование, запрос, необходимость
用心;ようじん;осторожность, бдительность
様子;ようす;положение вещей, обстоятельства, вид, облик, поведение, признак
要するに;ようするに;одним словом, короче говоря, по существу
要素;ようそ;важный элемент, существенный фактор, неотъемлемая часть
要点;ようてん;главный момент, основное содержание, суть
曜日;ようび;день недели
;ヨーロッパ;Европа
予期;よき;ожидания, надежды, предвкушения, предвидение
横切る;よこぎる;пересекать, переходить
予算;よさん;бюджет, смета
止す;よす;прекратить, бросить, отказаться от намерения
予測;よそく;предположения, предсказания, прогноз, предварительный расчет
;ヨット;яхта
夜中;よなか;полночь, поздняя ночь
世の中;よのなか;мир, свет, общество, жизнь, времена
余分;よぶん;излишек, избыток
予報;よほう;прогноз, предсказание
予防;よぼう;предупреждение, предотвращение, предохранение, профилактика
読み;よみ;чтение
嫁;よめ;невеста, молодая жена, невестка, сноха
余裕;よゆう;свобода действий, возможности, достаток, излишек, широта взглядов
喜び;よろこび;радость, поздравление
宜しい;よろしい;хороший, хорошо
宜しく;よろしく;хорошо, привет
来;らい;следующий, начиная с
;ライター;зажигалка, писатель
楽;らく;удобство, приятность, легкость
;ラケット;ракетка (для наст. тенниса)
利益;りえき;прибыль, доход, выгода, польза
理解;りかい;понимание
陸;りく;суша, земля, материк
利口;りこう;умный
離婚;りこん;развод, расторжение брака
理想;りそう;идеал
率;りつ;соотношение, процент, коэффициент, индекс, показатель
立派;りっぱ;прекрасный, превосходный, порядочный, приличный, честный, законный
留学;りゅうがく;обучение за границей
流行;りゅうこう;мода
量;りょう;количество, объем, вес, доза
両替;りょうがえ;размен, обмен (валюты)
料金;りょうきん;плата
例;れい;пример, прецедент, обыкновение
礼;れい;поклон, приветствие, вежливость, учтивость, церемония, благодарность
礼儀;れいぎ;манеры, правила приличия, этикет
冷静;れいせい;хладнокровие, спокойствие, сдержанность
列;れつ;ряд, шеренга, колонная, очередь
列車;れっしゃ;поезд
連想;れんそう;ассоциация (идей)
連続;れんぞく;продолжение, последовательность, непрерывный (в соч.) 
老人;ろうじん;пожилой человек, старик
労働;ろうどう;работа, физический труд
;ロケット;ракета, медальон, кулон
論じる;ろんじる;рассматривать, трактовать, принимать во внимание
論争;ろんそう;спор, дискуссия, полемика
論文;ろんぶん;статья, сочинение, трактат, диссертация
輪;わ;кольцо, круг, колесо, обруч, звено, виток
;わがまま;своенравие, эгоизм, каприз, произвол
別れ;わかれ;отделение, ответвление, развилка, расставание, разлука
脇;わき;бок, боковая сторона, другое, отдельное, подмышка
分ける;わける;делить, разъединять, разделять
;わざと;нарочно, намеренно, специально
僅か;わずか;всего лишь, только, немного
綿;わた;вата, хлопок
話題;わだい;тема (разговора)
笑い;わらい;смех
割る;わる;делить, разделять, ломать, расщеплять, разбивать, разбавлять (водой)
悪口;わるくち;брань, злословие
我々;われわれ;мы
湾;わん;бухта, залив
