#name=My Vocab N3 (1)
#description=My JLPT N3
JP;JP_KANA;RU
住宅;じゅうたく;квартира, жилой дом, жилище
集団;しゅうだん;группа, коллектив
集中;しゅうちゅう;концентрация, сосредоточение, централизация
収入;しゅうにゅう;доход, приход, поступления
住民;じゅうみん;жители, население
重要;じゅうよう;важный, серьезный
修理;しゅうり;ремонт, починка
主義;しゅぎ;принцип, идея, курс, система
宿泊;しゅくはく;ночевка, размещение (напр., в гостинице)
手術;しゅじゅつ;хирургическая операция
首相;しゅしょう;премьер-министр
手段;しゅだん;средство, мера
主張;しゅちょう;утверждение, требование, претензия
出身;しゅっしん;происходить, быть родом, быть выходцем
出席;しゅっせき;посещение (занятий), присутствие
出版;しゅっぱん;публикация, издание, выпуск
首都;しゅと;столица
主婦;しゅふ;домохозяйка, хозяйка
主要;しゅよう;главный, наиважнейший
需要;じゅよう;спрос, потребление
種類;しゅるい;вид, род, сорт, тип
順;じゅん;порядок, последовательность, очередь
瞬間;しゅんかん;миг, мгновение, момент
順調;じゅんちょう;благоприятный (ход, течение)
順番;じゅんばん;очередность, порядок, последовательность
使用;しよう;употребление, использование, применение
小;しょう;малый, мелкий, младший
章;しょう;глава (книги), значок, эмблема
賞;しょう;награда, приз, премия
上;じょう;верх, верхняя часть, первый том, верхний
障害;しょうがい;препятствие, помеха, повреждение, неисправность
奨学金;しょうがくきん;стипендия
乗客;じょうきゃく;пассажир
上京;じょうきょう;приезд в столицу (Токио)
状況;じょうきょう;ситуация, обстановка, положение дел
条件;じょうけん;условие, договоренность
正午;しょうご;полдень
正直;しょうじき;честность, прямота
常識;じょうしき;здравый смысл, общепринятое мнение
少女;しょうじょ;девушка
少々;しょうしょう;немного, чуть-чуть
症状;しょうじょう;состояние больного, симптомы
生じる;しょうじる;возникать, происходить, порождать, вызывать
状態;じょうたい;состояние, положение, условия (жизни, климатические) 
上達;じょうたつ;продвижение, успехи (в учебе)
冗談;じょうだん;шутка
上等;じょうとう;первосортный, высококачественный, отборный
衝突;しょうとつ;столкновение (автомобилей), коллизия, конфликт, схватка (воен.)
商人;しょうにん;купец, торговец
承認;しょうにん;одобрение, признание, согласие
少年;しょうねん;мальчик, подросток, малолетний
商売;しょうばい;торговля, бизнес, профессия
消費;しょうひ;расходование, потребление
商品;しょうひん;товар(ы)
消防;しょうぼう;пожарная охрана
情報;じょうほう;информация, сведения
証明;しょうめい;доказательство, подтверждение, свидетельство
女王;じょおう;королева, ферзь
職;しょく;профессия, должность, место работы
職業;しょくぎょう;занятие, профессия
食事;しょくじ;принятие пищи, еда
食卓;しょくたく;обеденный стол
植物;しょくぶつ;растение, растительность, флора
食物;しょくもつ;еда, пища
食欲;しょくよく;аппетит (к еде)
食料;しょくりょう;еда, продукты, питание
食糧;しょくりょう;продовольствие, провиант
書斎;しょさい;рабочий кабинет
女子;じょし;женщина
助手;じょしゅ;ассистент, помощник
徐々に;じょじょに;медленно, постепенно
署名;しょめい;подпись, автограф
書物;しょもつ;книга
女優;じょゆう;актриса
処理;しょり;обработка, лечение, принятие мер
書類;しょるい;документы, бумаги
知らせ;しらせ;извещение, уведомление, объявление
尻;しり;зад, ягодицы, конец, низ
印;しるし;знак, символ, эмблема, признак, свидетельство
城;しろ;замок, крепость, цитадель
進学;しんがく;повышение образовательного уровня
神経;しんけい;нервы, нервный, чувствительный
真剣;しんけん;серьезный, всерьёз, настоящий меч
信仰;しんこう;религиозная вера, исповедовать, верить
信号;しんごう;светофор, сигнал, сигнализация
人工;じんこう;человеческий труд, умение, искусственный
深刻;しんこく;глубокий, серьезный, острый
診察;しんさつ;медицинский осмотр, приём у врача
人種;じんしゅ;раса (людей)
信じる;しんじる;верить, доверять, быть уверенным
人生;じんせい;(человеческая) жизнь
親戚;しんせき;родственник, родня
新鮮;しんせん;свежий
心臓;しんぞう;сердце (анат.)
身体;しんたい;тело (человека)
身長;しんちょう;рост (человека)
慎重;しんちょう;осмотрительность, осторожность
審判;しんぱん;суд, судейство (спорт.)
人物;じんぶつ;человек, индивидуальность, персонаж, талантливый человек
進歩;しんぽ;прогресс
親友;しんゆう;близкий друг
信用;しんよう;доверие, репутация, надежность
信頼;しんらい;доверие
心理;しんり;душевное состояния, психология
人類;じんるい;человечество
巣;す;гнездо, улей, берлога, нора, паутина, притон (перен.)
図;ず;чертеж, план, схема, расчет
水準;すいじゅん;уровень воды, уровень, степень
推薦;すいせん;рекомендация
;スイッチ;переключатель, выключатель
随分;ずいぶん;порядком, очень
睡眠;すいみん;сон
数;すう;цифра, число, результат, принцип, несколько (в сочет.)
数字;すうじ;цифра
;スープ;суп
末;すえ;конец, окончание, в конечное счете, пустяки, мелочи, будущее
姿;すがた;фигура, вид, образ, поза, состояние, положение
;スキー;лыжи
空く;すく;быть пустым, становиться пустым
救う;すくう;спасать, выручать, помогать
優れる;すぐれる;превосходить, быть выше
;スケート;коньки, катание на коньках
少しも;すこしも;нисколько, ничуть, совсем (с отриц.)
過ごす;すごす;проводить (время), превышать, переходить предел
筋;すじ;мускул, мышца, вена, волокно, борозда, источник, сч. суф. для линий, канатов и т.п.
進める;すすめる;продвигать, передвигать вперед, развивать, повышать
勧める;すすめる;советовать, рекомендовать, предлагать, убеждать
;スター;звезда (экрана)
;スタイル;стиль, мода, фасон, прическа
;スタンド;подставка, стойка, трибуны, буфет, закусочная (где едят стоя)
頭痛;ずつう;головная боль, заботы (обр.)
;ずっと;гораздо более, далеко, прямо, все время, сплошь
;すてき;замечательный, чудесный
既に;すでに;уже, вот-вот совсем
;すなわち;то есть, а именно
;スピーチ;речь
全て;すべて;все, всё, полностью, целиком
済ませる;すませる;заканчиваться, завершаться
為る;する;делать, совершать
;すると;тогда, вслед за этим, в таком случае, значит
鋭い;するどい;острый
